FeedName,SubmissionTypeDescription,organization_id
CRIS,FullYear,4295413777
CRIS,ARS-None,4295856029
SEDAR,Annual Financial Statements,4295856032
CRIS,Full Year,4295856039
CRIS,Prelim-FullYear,4295856058
SEDAR,Annual MD&A,4295856059
SEDAR,Annual Certificates,4295856059
SEDAR,Annual Certificates (NI 52-109),4295856059
SEDAR,Annual Information Forms,4295856059
SEDAR,AnnualCertificates (NI 52-109),4295856059
SEDAR,Audited annual financial statements - English,4295856059
SEDAR,MD&A - English,4295856059
SEDAR,52-109FV1 - Certification of annual filings - CEO (E),4295856059
SEDAR,52-109FV1 - Certification of annual filings - CFO (E),4295856059
CRIS,AnnualAmendment,4295856073
SEDAR,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),4295856083
SEDAR,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),4295856083
CRIS,Fact Book Full Year,4295856087
UK,Annual Report,4295856098
CRIS,Prelim-Full Year,4295856098
CRIS,PrelimAmendment-FullYear,4295856189
SEDAR,Annual Information Form (NI 44-101),4295856294
SEDAR,Annual Information Form (NI 51-102),4295856294
SEDAR,Annual Report,4295856294
SEDAR,Annual Information Form (NPS 47),4295856294
SEDAR,ON Form 13-502F3B (Class 3B Reporting Issuers – Participation Fee),4295856294
SEDAR,Annual information form - English,4295856294
SEDAR,Annual report - English,4295856294
SEDAR,AB Form 13-501F4 (Class 3A Reporting Issuers - Participation Fee),4295856294
SEDAR,ON Form 13-502F3A (Class 3A Reporting Issuers –Participation Fee),4295856294
SEDAR,Annual report on Form 10-K - English,4295856542
SEDAR,52-109F1 - Certification of annual filings - CFO (E),4295856542
SEDAR,52-109F1 - Certification of annual filings - CEO (E),4295856542
SEDAR,Oil and gas annual disclosure filing (Form 51-101 F1),4295856542
SEDAR,Oil and gas annual disclosure filing (Form 51-101 F3),4295856542
SEDAR,Oil and gas annual disclosure filing (Form 51-101 F2),4295856542
UK,Annual Review,4295856627
SEDAR,Oil and Gas Annual Disclosure (NI 51-101),4295856931
CRIS,NONE-MOF,4295857289
OBI,Reports Annual,4295858477
CRIS,Full Year Disclosure Document,4295858749
SEDAR,Annual Information Form (Non-POP Issuers),4295860354
SEDAR,"SHAIF (BC LPS 3-27, AB Rule 45-501, CDNX)",4295860354
SEDAR,Resale of Securities (MI 45-102),4295860367
SEDAR,52-109F1-AIF - Certification of filings with voluntarily filed AIF - CEO(E),4295860399
SEDAR,52-109F1-AIF - Certification of filings with voluntarily filed AIF - CFO(E),4295860430
SEDAR,Audited annual financial statements (amended) – English,4295860430
SEDAR,52-109F1R - Certification of refiled annual filings - CFO (E),4295860430
SEDAR,52-109F1R - Certification of refiled annual filings - CEO (E),4295860430
SEDAR,Annual Information Form (NI 81-106),4295860439
SEDAR,Cover letter,4295860470
SEDAR,MD&A (amended) - English,4295860472
SEDAR,Annual Certificates (NI52-109),4295860549
SEDAR,Annual Certificates(NI 52-109),4295860549
SEDAR,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers -Participation Fee),4295860549
SEDAR,Annual report - French,4295860615
SEDAR,Annual report (amended) - French,4295860615
SEDAR,Audited annualfinancial statements - English,4295860741
SEDAR,ON Form 13-502F1 (Class 1 Reporting Issuers – Participation Fee),4295860741
SEDAR,Documents incorporated by reference not previously filed - English,4295860840
SEDAR,MD&A - French,4295860884
SEDAR,Audited annual financial statements – French,4295860884
SEDAR,ON Form 13-502F1 (Class1 and 3B Reporting Issuers - Participation Fee),4295860884
SEDAR,Annual report on Form 20-F - English,4295861063
SEDAR,Oil and gas annual disclosure filing(Form 51-101 F3),4295861066
SEDAR,Annual FinancialStatements,4295861113
SEDAR,52-109F1 - Certification of annual filings - CEO (F),4295861412
SEDAR,Other,4295861632
SEDAR,AB Form 13-501F2 (Class 2 Reporting Issuers - Participation Fee),4295861632
SEDAR,AB Form 13-501F6 Subsidiary Exemption Notice,4295861781
SEDAR,AB Form 13-501F1 (Class 1 and3B Reporting Issuers - Participation Fee),4295861874
SEDAR,AnnualMD&A,4295861902
SEDAR,52-109F1 - Certification of annual filings- CEO (E),4295861902
SEDAR,52-109FV1 - Certification of annualfilings - CFO (E),4295862017
SEDAR,Revised annual report on Form 10-K - English,4295862051
SEDAR,ON Form 13-502F1 (Class 1and 3B Reporting Issuers - Participation Fee),4295862159
SEDAR,52-109F1 - Certification ofannual filings - CEO (E),4295862159
SEDAR,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - ParticipationFee),4295862314
SEDAR,MD&A of an operating entity,4295862314
SEDAR,52-109F1 - Certification of annual filings - CFO(E),4295862364
SEDAR,Revised annual information form - English,4295862378
SEDAR,Annualinformation form - English,4295862439
SEDAR,Resale ofSecurities (MI 45-102),4295862503
SEDAR,Annual report (amended)- English,4295862503
SEDAR,Annual Information Form(NI 51-102),4295862549
SEDAR,MD&A- English,4295862675
SEDAR,ON Form 13-502F2 (Class 2 Reporting Issuers – ParticipationFee),4295862706
SEDAR,Audited annual financial statements- English,4295862908
SEDAR,52-109F1 - Certification of annual filings -CEO (E),4295862908
SEDAR,Shelf Prospectus (NI 44-102),4295862965
SEDAR,Short Form Prospectus (NI 44-101),4295863000
SEDAR,AB Form 13-501F1 (Class1 and 3B Reporting Issuers - Participation Fee),4295863070
SEDAR,"Oil and gas annual disclosure filing (Forms 51-101 F1, F2&F3)",4295863176
China,ANNUAL FULL REPORT - ENGLISH,4295863672
China,ANNUAL FULL REPORT,4295863963
Taiwan,Annual Report,4295864354
OBI,Prelim Full Year,4295866378
CRIS,Prelim Amendment-Full Year,4295866537
CRIS,56-2 FullYear,4295870369
CRIS,AR/S,4295874136
SEDAR,ON Form 13-502F1 (Class 1 and3B Reporting Issuers - Participation Fee),4295874940
SEDAR,MD&A - letter from foreign issuer,4295874940
SEDAR,Annual information form - letter from foreign issuer,4295874940
Italy,Consolidated annual financial statements,4295875304
Italy,Documenti relativi alla relazione finanziaria annuale,4295875311
Italy,Draft company annual financial statements and consolidated annual financial statements,4295875318
Italy,Company annual financial statements and consolidated annual financial statements,4295875318
Italy,Annual information documents (pursuant to article 54 Reg. 11971/99),4295875351
Italy,Draft company annual financial statements,4295875412
Italy,Company annual financial statements,4295875412
Italy,Form 20-F,4295875513
Tanshin,Financial Results (Consolidated),4295875877
Tanshin,Tanshin; Consolidated; Annual; 1st page only,4295876006
Tanshin,Tanshin; Consolidated; Annual; 1st page + full document,4295876869
Tanshin,Financial Results (Individual/Non Consolidated),4295878438
CRIS,56-1 Full Year,4295891997
CRIS,56-1 FullYear,4295892724
SEDAR,52-109F1 -Certification of annual filings - CFO (E),4295894228
SEDAR,52-109F1R - Certification of refiled annualfilings - CFO (E),4295894228
CRIS,10-K,4295906706
SEDAR,52-109F1 - Certification of annualfilings - CEO (E),4295907485
SEDAR,AnnualInformation Forms,4295913962
SEDAR,Annual report on Form10-K - English,4295916005
SEDAR,Oil and Gas Annual Disclosure(NI 51-101),4295917017
SEDAR,Revised oil and gas annual disclosure filing (Form 51-101 F2),4295917017
